headline,date_time,link,full_text,location,word_count_before,word_count_after,preprocessed_body,page_no,Class,Unnamed: 10
"Palestinian killed by Israeli military gunfire in Hebron""",5/18/21 11:40,https://english.wafa.ps/Pages/Details/124562,"
HEBRON, Tuesday, May 18, 2021 (WAFA) – Israeli forces Tuesday killed a Palestinian youth near al-Karantina area in the center of the occupied West Bank city of Hebron, according to the Health Ministry.
It said that Israeli forces gunned down Islam Ghayyad, 32, in the southern West Bank city of Hebron.
Witnesses said that the Israeli soldiers opened intensive fire towards Ghayyad, severely wounding him.
They cordoned off the area, preventing anyone from approaching the scene to identify the slain Palestinian and medics from providing treatment to him. The slain Palestinian’s body is withheld by the soldiers.
They also prevented journalists from reporting on the incident, opening fire towards them.
Israeli military claimed that the slain Palestinian purportedly attempted to carry out a shooting attack before being killed. No soldier was hurt in the alleged attack.
There were no official Palestinian information on the incident, and circumstances surrounding it remain unclear and largely based on the Israeli version of events.
Many Palestinians were injured or killed in similar incidents under the pretext of alleged stabbing attempts.
Israeli has been criticized for its reflexive use of lethal force and “extrajudicial killings” when Palestinian alleged attackers no longer pose an immediate threat. The UN Office for the Coordination of Humanitarian Affairs (OCHA) said that circumstances surrounding such killings over the past months remain disputed.
Various international, Palestinian and Israeli human rights organizations have slammed Israel’s policy of “extrajudicial killings” against Palestinians.
ideo footage for similar alleged attacks, such that of Elor Azarya’s killing of Abd al-Fattah al-Sharif, appear to disapprove Israeli military claims, showing that lethal force was used against Palestinians when they posed no immediate, life-threatening danger, and they did not even attempt to carry out any attacks.
Palestinians have always maintained that such incidents among other measures, taken under the guise of security, are intended to entrench Israel’s 54-year-old military occupation of the West Bank and its settler colonial project which it enforces with routine and frequently deadly violence against Palestinians.
K.T./ K.F. 
",HEBRON,322,193,"['isra', 'forc', 'tuesday', 'kill', 'palestinian', 'youth', 'near', 'al-karantina', 'area', 'center', 'occupi', 'west', 'bank', 'citi', 'hebron', 'accord', 'health', 'ministri', 'isra', 'forc', 'gun', 'islam', 'ghayyad', 'southern', 'west', 'bank', 'citi', 'hebron', 'wit', 'isra', 'soldier', 'open', 'intens', 'ghayyad', 'sever', 'wound', 'cordon', 'area', 'prevent', 'anyon', 'approach', 'scene', 'identifi', 'slain', 'palestinian', 'medic', 'provid', 'treatment', 'slain', 'palestinian', 'bodi', 'withheld', 'soldier', 'prevent', 'journalist', 'report', 'incid', 'open', 'isra', 'militari', 'claim', 'slain', 'palestinian', 'purport', 'attempt', 'carri', 'shoot', 'attack', 'befor', 'kill', 'soldier', 'hurt', 'alleg', 'attack', 'offici', 'palestinian', 'inform', 'incid', 'circumst', 'surround', 'remain', 'unclear', 'larg', 'base', 'isra', 'version', 'event', 'mani', 'palestinian', 'injur', 'kill', 'similar', 'incid', 'pretext', 'alleg', 'stab', 'attempt', 'isra', 'critic', 'reflex', 'use', 'lethal', 'forc', 'extrajudici', 'kill', 'palestinian', 'alleg', 'attack', 'longer', 'pose', 'immedi', 'threat', 'offic', 'coordin', 'humanitarian', 'affair', 'ocha', 'circumst', 'surround', 'kill', 'past', 'month', 'remain', 'disput', 'various', 'intern', 'palestinian', 'isra', 'human', 'right', 'organ', 'slam', 'israel', 'polici', 'extrajudici', 'kill', 'palestinian', 'ideo', 'footag', 'similar', 'alleg', 'attack', 'elor', 'azarya', 'kill', 'abd', 'al-fattah', 'al-sharif', 'appear', 'disapprov', 'isra', 'militari', 'claim', 'lethal', 'forc', 'use', 'palestinian', 'pose', 'immedi', 'life-threaten', 'danger', 'did', 'attempt', 'carri', 'ani', 'attack', 'palestinian', 'alway', 'maintain', 'incid', 'measur', 'taken', 'guis', 'secur', 'intend', 'entrench', 'israel', '-year-old', 'militari', 'occup', 'west', 'bank', 'settler', 'coloni', 'project', 'enforc', 'routin', 'frequent', 'dead', 'violenc', 'palestinian', 'k.t./', 'k.f']",124562,1.0,
"Two Palestinians injured by Israeli gunfire near Salfit""",5/18/21 11:10,https://english.wafa.ps/Pages/Details/124561,"
SALFIT, Tuesday, May 18, 2021 (WAFA) – Two Palestinians were injured by Israeli military gunfire as Israeli forces backed a settler assault in Burqin village, west of Salfit city, according to local sources.
They said that Israeli settlers, under the military protection, forced their way into the village to carry out attacks and vandalize property, sparking confrontations. 
The villagers attempted to fend off the settler attack, but were met with Israeli forces gunfire, resulting in injuring two young men. The casualties, who were hit by rubber-coated steel bullets, were rushed to a hospital, where their condition was reported to be moderate.
Settler violence against Palestinians and their property is routine in the West Bank and is rarely prosecuted by Israeli authorities.
Settler violence includes property and mosque arsons, stone-throwing, uprooting of crops and olive trees, attacks on vulnerable homes, among others.
There are over 700,000 Israeli settlers living in colonial settlements in the West Bank and East Jerusalem.
K.T./K.F. 
",SALFIT,155,88,"['palestinian', 'injur', 'isra', 'militari', 'gunfir', 'isra', 'forc', 'settler', 'assault', 'burqin', 'villag', 'west', 'salfit', 'citi', 'accord', 'local', 'sourc', 'isra', 'settler', 'militari', 'protect', 'forc', 'way', 'villag', 'carri', 'attack', 'vandal', 'properti', 'spark', 'confront', 'villag', 'attempt', 'fend', 'settler', 'attack', 'met', 'isra', 'forc', 'gunfir', 'result', 'injur', 'young', 'men', 'casualti', 'hit', 'rubber-co', 'steel', 'bullet', 'rush', 'hospit', 'condit', 'report', 'moder', 'settler', 'violenc', 'palestinian', 'properti', 'routin', 'west', 'bank', 'rare', 'prosecut', 'isra', 'author', 'settler', 'violenc', 'includ', 'properti', 'mosqu', 'arson', 'stone-throw', 'uproot', 'crop', 'oliv', 'tree', 'attack', 'vulner', 'home', 'isra', 'settler', 'live', 'coloni', 'settlement', 'west', 'bank', 'east', 'jerusalem', 'k.t./k.f']",124561,0.0,
"Indonesians protest over Israeli onslaught on Gaza """,5/18/21 10:55,https://english.wafa.ps/Pages/Details/124560,"
JAKARTA, Tuesday, May 18, 2021 (WAFA) – Indonesians today marched in protest of the ongoing Israeli onslaught on Gaza in several Indonesian cities, including the capital, Jakarta. 
Protestors marched to the US embassy and the United Nations mission in Jakarta in condemnation of the ongoing Israeli aerial and artillery bombardment of the besieged Gaza Strip and Israeli violations in Jerusalem, including the forced expulsions of Palestinians and encroachments upon the holy sites.
Waving Indonesian and Palestinian flags, the protestors shouted “Freedom for Palestine”, “Save Palestine” and held banner and placards denouncing the US support and bias in favor of Israel.
The protests were organized following calls from trade unions, including the Confederation of Indonesian Trade Unions. Similar protests were held in other Indonesian cities, including in Surabaya, Bandung, Yogyakarta, Makassar and Riau.
The Palestinian Health Ministry said the overall death toll since the latest onslaught began reached 212, including 61 children, and wounded over 1400 others, mostly children and women.
 
K.T./ K.F.
",JAKARTA,158,97,"['indonesian', 'today', 'march', 'protest', 'ongo', 'isra', 'onslaught', 'gaza', 'sever', 'indonesian', 'citi', 'includ', 'capit', 'jakarta', 'protestor', 'march', 'embassi', 'unit', 'nation', 'mission', 'jakarta', 'condemn', 'ongo', 'isra', 'aerial', 'artilleri', 'bombard', 'besieg', 'gaza', 'strip', 'isra', 'violat', 'jerusalem', 'includ', 'forc', 'expuls', 'palestinian', 'encroach', 'holi', 'site', 'wave', 'indonesian', 'palestinian', 'flag', 'protestor', 'shout', 'freedom', 'palestin', 'save', 'palestin', 'held', 'banner', 'placard', 'denounc', 'support', 'bias', 'favor', 'israel', 'protest', 'organ', 'follow', 'trade', 'union', 'includ', 'confeder', 'indonesian', 'trade', 'union', 'similar', 'protest', 'held', 'indonesian', 'citi', 'includ', 'surabaya', 'bandung', 'yogyakarta', 'makassar', 'riau', 'palestinian', 'health', 'ministri', 'overal', 'death', 'toll', 'sinc', 'latest', 'onslaught', 'began', 'reach', 'includ', 'children', 'wound', 'children', 'women', 'k.t./', 'k.f']",124560,1.0,
"Israeli airstrikes pummel Gaza as the onslaught enters ninth day""",5/18/21 10:30,https://english.wafa.ps/Pages/Details/124559,"
GAZA, Tuesday, May 18, 2021 (WAFA) – The Israeli warplanes dawn Tuesday launched dozens of airstrikes targeting civilian buildings and infrastructure across the besieged Gaza Strip as the onslaught entered its ninth day, according to WAFA correspondent.
He said that the Israeli warplanes targeted a site, a civilian institution and some roads in the vicinity of Ansar Compound and al-Katiba Mosque, west of Gaza city, a house in al-Nasr neighborhood, north of the city, in the Al-Tuffah and Al-Shujaiya neighborhoods, east of the city. No casualties were reported.
He added that the warplanes launched more than fifty raids on civilian homes, sites and civilian facilities in Beit Lahiya town and in separate areas of the town of Jabalia, in the northern Gaza Strip, causing massive damage in the targeted places and the surrounding areas.
The Palestinian Health Ministry said the overall death toll since the latest onslaught began reached 212, including 61 children, and wounded over 1400 others, mostly children and women.
The Israeli military has carried out hundreds of airstrikes on the coastal enclave, targeting what it alleged as military sites. However, the bombardment targeted and leveled multistory residential buildings, towers, houses, government institutions, media outlet offices, banks in addition to roads and other infrastructure across the strip.    
Two million Palestinians live the Gaza Strip, which has been subjected to a punishing and crippling Israeli blockade for 12 years and repeated onslaughts that have heavily damaged much of the enclave’s infrastructure.
Gaza’s 2-million population remains under “remote control” occupation and a strict siege, which has destroyed the local economy, strangled Palestinian livelihoods, plunged them into unprecedented rates of unemployment and poverty, and cut off from the rest of the occupied Palestinian territories and the wider world.
Gaza remains occupied territory, having no control over its borders, territorial waters or airspace. Meanwhile, Israel upholds very few of its responsibilities as the occupying power, failing to provide for the basic needs of Palestinian civilians living in the territory.
Every two in three Palestinians in Gaza is a refugee from lands inside what is now Israel. That government forbids them from exercising their right to return as enshrined in international law because they are not Jews.
K. F.
",GAZA,358,207,"['isra', 'warplan', 'dawn', 'tuesday', 'launch', 'dozen', 'airstrik', 'target', 'civilian', 'build', 'infrastructur', 'besieg', 'gaza', 'strip', 'onslaught', 'enter', 'ninth', 'day', 'accord', 'wafa', 'correspond', 'isra', 'warplan', 'target', 'site', 'civilian', 'institut', 'road', 'vicin', 'ansar', 'compound', 'al-katiba', 'mosqu', 'west', 'gaza', 'citi', 'hous', 'al-nasr', 'neighborhood', 'north', 'citi', 'al-tuffah', 'al-shujaiya', 'neighborhood', 'east', 'citi', 'casualti', 'report', 'ad', 'warplan', 'launch', 'fifti', 'raid', 'civilian', 'home', 'site', 'civilian', 'facil', 'beit', 'lahiya', 'town', 'separ', 'area', 'town', 'jabalia', 'northern', 'gaza', 'strip', 'caus', 'massiv', 'damag', 'target', 'place', 'surround', 'area', 'palestinian', 'health', 'ministri', 'overal', 'death', 'toll', 'sinc', 'latest', 'onslaught', 'began', 'reach', 'includ', 'children', 'wound', 'children', 'women', 'isra', 'militari', 'carri', 'hundr', 'airstrik', 'coastal', 'enclav', 'target', 'alleg', 'militari', 'site', 'howev', 'bombard', 'target', 'level', 'multistori', 'residenti', 'build', 'tower', 'hous', 'govern', 'institut', 'media', 'outlet', 'offic', 'bank', 'addit', 'road', 'infrastructur', 'strip', 'million', 'palestinian', 'live', 'gaza', 'strip', 'subject', 'punish', 'crippl', 'isra', 'blockad', 'year', 'repeat', 'onslaught', 'heavili', 'damag', 'enclav', 'infrastructur', 'gaza', '-million', 'popul', 'remain', 'remot', 'control', 'occup', 'strict', 'sieg', 'destroy', 'local', 'economi', 'strangl', 'palestinian', 'livelihood', 'plung', 'unpreced', 'rate', 'unemploy', 'poverti', 'cut', 'rest', 'occupi', 'palestinian', 'territori', 'wider', 'world', 'gaza', 'remain', 'occupi', 'territori', 'control', 'border', 'territori', 'water', 'airspac', 'meanwhil', 'israel', 'uphold', 'veri', 'respons', 'occupi', 'power', 'fail', 'provid', 'basic', 'need', 'palestinian', 'civilian', 'live', 'territori', 'everi', 'palestinian', 'gaza', 'refuge', 'land', 'insid', 'israel', 'govern', 'forbid', 'exercis', 'right', 'return', 'enshrin', 'intern', 'law', 'becaus', 'jew', 'k.']",124559,1.0,
"Palestinians stage nationwide general strike as Israel relentlessly bombards Gaza""",5/18/21 09:59,https://english.wafa.ps/Pages/Details/124558,"
RAMALLAH, Tuesday, May 18, 2021 (WAFA) – The Palestinian people today are observing a nationwide general strike to protest Israel’s relentless bombardment of the besieged Gaza Strip.
The strike, which will see the closure of all economic, commercial and educational establishments in the occupied West Bank, including East Jerusalem, Gaza and the Palestinian villages and towns in Israel, as more than 200 people, including 61 children, were killed and over 1,300 others were wounded in the intense Israeli aerial and artillery attacks on the besieged enclave.
The strike is also being observed in protest settler mob violence against Palestinians and the forcible expulsions of Palestinians from the Sheikh Jarrah neighborhood and days of assaults against Al-Aqsa Mosque compound.
The call for the strike has been backed by the various Palestinian political parties, unions, syndicates, and popular movements, which published statements in support of it and urging the Palestinian people and their members to take part in it. 
The call of the strike has also been supported by the Arab High Follow-up Committee, which called the approximately 1.6 million Palestinian citizens of Israel to observe the strike, as Palestinians in refugee camps and worldwide are also expected to take part in peaceful protests in condemnation of the Israeli aggression.
Fatah Central Committee has called on Palestinians to adhere to the strike, describing it as a “day of rage” and calling the world to confront the Israeli occupation authorities’ attempts to “ignite a religious conflict” through forced expulsions in Jerusalem.
The Palestinian national and Islamic parties coalition also released a statement in support of the strike, which will see Palestinians everywhere embodying their national unity under the Palestinian flag. 
The participants are expected to take part in mass mobilizations at various places.
K.F.
",RAMALLAH,285,144,"['palestinian', 'peopl', 'today', 'observ', 'nationwid', 'general', 'strike', 'protest', 'israel', 'relentless', 'bombard', 'besieg', 'gaza', 'strip', 'strike', 'closur', 'econom', 'commerci', 'educ', 'establish', 'occupi', 'west', 'bank', 'includ', 'east', 'jerusalem', 'gaza', 'palestinian', 'villag', 'town', 'israel', 'peopl', 'includ', 'children', 'kill', 'wound', 'intens', 'isra', 'aerial', 'artilleri', 'attack', 'besieg', 'enclav', 'strike', 'observ', 'protest', 'settler', 'mob', 'violenc', 'palestinian', 'forcibl', 'expuls', 'palestinian', 'sheikh', 'jarrah', 'neighborhood', 'day', 'assault', 'al-aqsa', 'mosqu', 'compound', 'strike', 'various', 'palestinian', 'polit', 'parti', 'union', 'syndic', 'popular', 'movement', 'publish', 'statement', 'support', 'urg', 'palestinian', 'peopl', 'member', 'strike', 'support', 'arab', 'high', 'follow-up', 'committe', 'approxim', 'million', 'palestinian', 'citizen', 'israel', 'observ', 'strike', 'palestinian', 'refuge', 'camp', 'worldwid', 'expect', 'peac', 'protest', 'condemn', 'isra', 'aggress', 'fatah', 'central', 'committe', 'palestinian', 'adher', 'strike', 'describ', 'day', 'rage', 'world', 'confront', 'isra', 'occup', 'author', 'attempt', 'ignit', 'religi', 'conflict', 'forc', 'expuls', 'jerusalem', 'palestinian', 'nation', 'islam', 'parti', 'coalit', 'releas', 'statement', 'support', 'strike', 'palestinian', 'everywher', 'embodi', 'nation', 'uniti', 'palestinian', 'flag', 'particip', 'expect', 'mass', 'mobil', 'various', 'place', 'k.f']",124558,1.0,
"BREAKING: Israeli fighter jets attack civilian targets in Gaza, Jabalia and Beit Lahiya""",5/18/21 04:54,https://english.wafa.ps/Pages/Details/124556,"
",,1,0,[],124556,1.0,
"Death toll from Israeli ongoing onslaught on Gaza rises to 212""",5/17/21 22:21,https://english.wafa.ps/Pages/Details/124550,"
RAMALLAH, Monday, May 17, 2021 (WAFA) – The death toll among Palestinians after eight consecutive days of the brutal Israeli onslaught on the Gaza Strip has risen to 212, said medical sources.
According to medical sources, 212 Palestinians have been killed in the Israeli bombardment of Gaza since Monday, including 61 children, 36 women, and 16 elderly people, while 1400 people were wounded, including 400 children, and 270 women, of whom 50 are in critical condition.
T.R.
",RAMALLAH,74,36,"['death', 'toll', 'palestinian', 'consecut', 'day', 'brutal', 'isra', 'onslaught', 'gaza', 'strip', 'risen', 'medic', 'sourc', 'accord', 'medic', 'sourc', 'palestinian', 'kill', 'isra', 'bombard', 'gaza', 'sinc', 'monday', 'includ', 'children', 'women', 'elder', 'peopl', 'peopl', 'wound', 'includ', 'children', 'women', 'critic', 'condit', 't.r']",124550,1.0,
"Israeli forces kill Palestinian minor during clashes north of Hebron """,5/17/21 22:14,https://english.wafa.ps/Pages/Details/124549,"
HEBRON, Monday, May 17, 2021 (WAFA) – A Palestinian minor was killed and dozens of others suffocated by tear gas during clashes with Israeli forces in al-Aroub refugee camp to the north of the southern occupied West Bank district of Hebron, according to WAFA correspondent.
Clashes reportedly broke out at the entrance to al-Aroub refugee camp, during which Israeli army forces fired live and rubber-coated steel bullets, tear gas canisters, and stun grenades towards the camp’s residents and their homes, killing 17-year-old Obaida Akram Jawabreh. 
According to medical sources, Jawabreh was hit by a direct shot to the heart, which emerged from the lungs, killing him instantly.
T.R.
",HEBRON,106,65,"['palestinian', 'minor', 'kill', 'dozen', 'suffoc', 'tear', 'gas', 'dure', 'clash', 'isra', 'forc', 'al-aroub', 'refuge', 'camp', 'north', 'southern', 'occupi', 'west', 'bank', 'district', 'hebron', 'accord', 'wafa', 'correspond', 'clash', 'report', 'broke', 'entranc', 'al-aroub', 'refuge', 'camp', 'dure', 'isra', 'armi', 'forc', 'live', 'rubber-co', 'steel', 'bullet', 'tear', 'gas', 'canist', 'stun', 'grenad', 'camp', 'resid', 'home', 'kill', '-year-old', 'obaida', 'akram', 'jawabreh', 'accord', 'medic', 'sourc', 'jawabreh', 'hit', 'direct', 'shot', 'heart', 'emerg', 'lung', 'kill', 'instant', 't.r']",124549,1.0,
"Israeli airstrikes kill child, elderly in central Gaza """,5/17/21 19:40,https://english.wafa.ps/Pages/Details/124544,"
GAZA, Monday, May 17, 2021 (WAFA) – A Palestinian child and an elderly man were killed today evening in an Israeli airstrike that targeted a residential building in central Gaza, said sources.
Israeli warplanes targeted with at least one missile a residential building located near al-Rimal clinic in al-Wehda Street, that runs through central Gaza city, killing a child and an elderly and injuring more than a dozen people.
Palestinians in the area say they were given no warning prior to the attack.
The shelling caused the destruction of large portions of the building and immense damage to the nearby al-Rimal clinic.
Members of the medical staff inside the clinic were also injured in the airstrike.
T.R.
 
",GAZA,112,61,"['palestinian', 'child', 'elder', 'man', 'kill', 'today', 'isra', 'airstrik', 'target', 'residenti', 'build', 'central', 'gaza', 'sourc', 'isra', 'warplan', 'target', 'missil', 'residenti', 'build', 'locat', 'near', 'al-rim', 'clinic', 'al-wehda', 'street', 'run', 'central', 'gaza', 'citi', 'kill', 'child', 'elder', 'injur', 'dozen', 'peopl', 'palestinian', 'area', 'given', 'warn', 'prior', 'attack', 'shell', 'caus', 'destruct', 'larg', 'portion', 'build', 'immens', 'damag', 'nearbi', 'al-rim', 'clinic', 'member', 'medic', 'staff', 'insid', 'clinic', 'injur', 'airstrik', 't.r']",124544,1.0,
"Israeli airstrikes on Gaza kill youth, injure others """,5/17/21 18:58,https://english.wafa.ps/Pages/Details/124542,"
GAZA, Monday, May 17, 2021 (WAFA) – a Palestinian civilian was killed and others injured in an Israeli airstrike that hit a site in Beit Lahiya town, to the north of the besieged Gaza Strip, said sources.
Israeli warplanes targeted a group of Palestinian civilians in Beit Lahiya, killing a youth and injuring others.
T.R. 
",GAZA,54,28,"['palestinian', 'civilian', 'kill', 'injur', 'isra', 'airstrik', 'hit', 'site', 'beit', 'lahiya', 'town', 'north', 'besieg', 'gaza', 'strip', 'sourc', 'isra', 'warplan', 'target', 'group', 'palestinian', 'civilian', 'beit', 'lahiya', 'kill', 'youth', 'injur', 't.r']",124542,1.0,
