headline,date_time,link,full_text
"Palestinian killed by Israeli military gunfire in Hebron""",18/May/2021 11:40 AM,https://english.wafa.ps/Pages/Details/124562,"
HEBRON, Tuesday, May 18, 2021 (WAFA) – Israeli forces Tuesday killed a Palestinian youth near al-Karantina area in the center of the occupied West Bank city of Hebron, according to the Health Ministry.
It said that Israeli forces gunned down Islam Ghayyad, 32, in the southern West Bank city of Hebron.
Witnesses said that the Israeli soldiers opened intensive fire towards Ghayyad, severely wounding him.
They cordoned off the area, preventing anyone from approaching the scene to identify the slain Palestinian and medics from providing treatment to him. The slain Palestinian’s body is withheld by the soldiers.
They also prevented journalists from reporting on the incident, opening fire towards them.
Israeli military claimed that the slain Palestinian purportedly attempted to carry out a shooting attack before being killed. No soldier was hurt in the alleged attack.
There were no official Palestinian information on the incident, and circumstances surrounding it remain unclear and largely based on the Israeli version of events.
Many Palestinians were injured or killed in similar incidents under the pretext of alleged stabbing attempts.
Israeli has been criticized for its reflexive use of lethal force and “extrajudicial killings” when Palestinian alleged attackers no longer pose an immediate threat. The UN Office for the Coordination of Humanitarian Affairs (OCHA) said that circumstances surrounding such killings over the past months remain disputed.
Various international, Palestinian and Israeli human rights organizations have slammed Israel’s policy of “extrajudicial killings” against Palestinians.
ideo footage for similar alleged attacks, such that of Elor Azarya’s killing of Abd al-Fattah al-Sharif, appear to disapprove Israeli military claims, showing that lethal force was used against Palestinians when they posed no immediate, life-threatening danger, and they did not even attempt to carry out any attacks.
Palestinians have always maintained that such incidents among other measures, taken under the guise of security, are intended to entrench Israel’s 54-year-old military occupation of the West Bank and its settler colonial project which it enforces with routine and frequently deadly violence against Palestinians.
K.T./ K.F. 
"
"Two Palestinians injured by Israeli gunfire near Salfit""",18/May/2021 11:10 AM,https://english.wafa.ps/Pages/Details/124561,"
SALFIT, Tuesday, May 18, 2021 (WAFA) – Two Palestinians were injured by Israeli military gunfire as Israeli forces backed a settler assault in Burqin village, west of Salfit city, according to local sources.
They said that Israeli settlers, under the military protection, forced their way into the village to carry out attacks and vandalize property, sparking confrontations. 
The villagers attempted to fend off the settler attack, but were met with Israeli forces gunfire, resulting in injuring two young men. The casualties, who were hit by rubber-coated steel bullets, were rushed to a hospital, where their condition was reported to be moderate.
Settler violence against Palestinians and their property is routine in the West Bank and is rarely prosecuted by Israeli authorities.
Settler violence includes property and mosque arsons, stone-throwing, uprooting of crops and olive trees, attacks on vulnerable homes, among others.
There are over 700,000 Israeli settlers living in colonial settlements in the West Bank and East Jerusalem.
K.T./K.F. 
"
"Indonesians protest over Israeli onslaught on Gaza """,18/May/2021 10:55 AM,https://english.wafa.ps/Pages/Details/124560,"
JAKARTA, Tuesday, May 18, 2021 (WAFA) – Indonesians today marched in protest of the ongoing Israeli onslaught on Gaza in several Indonesian cities, including the capital, Jakarta. 
Protestors marched to the US embassy and the United Nations mission in Jakarta in condemnation of the ongoing Israeli aerial and artillery bombardment of the besieged Gaza Strip and Israeli violations in Jerusalem, including the forced expulsions of Palestinians and encroachments upon the holy sites.
Waving Indonesian and Palestinian flags, the protestors shouted “Freedom for Palestine”, “Save Palestine” and held banner and placards denouncing the US support and bias in favor of Israel.
The protests were organized following calls from trade unions, including the Confederation of Indonesian Trade Unions. Similar protests were held in other Indonesian cities, including in Surabaya, Bandung, Yogyakarta, Makassar and Riau.
The Palestinian Health Ministry said the overall death toll since the latest onslaught began reached 212, including 61 children, and wounded over 1400 others, mostly children and women.
 
K.T./ K.F.
"
"Israeli airstrikes pummel Gaza as the onslaught enters ninth day""",18/May/2021 10:30 AM,https://english.wafa.ps/Pages/Details/124559,"
GAZA, Tuesday, May 18, 2021 (WAFA) – The Israeli warplanes dawn Tuesday launched dozens of airstrikes targeting civilian buildings and infrastructure across the besieged Gaza Strip as the onslaught entered its ninth day, according to WAFA correspondent.
He said that the Israeli warplanes targeted a site, a civilian institution and some roads in the vicinity of Ansar Compound and al-Katiba Mosque, west of Gaza city, a house in al-Nasr neighborhood, north of the city, in the Al-Tuffah and Al-Shujaiya neighborhoods, east of the city. No casualties were reported.
He added that the warplanes launched more than fifty raids on civilian homes, sites and civilian facilities in Beit Lahiya town and in separate areas of the town of Jabalia, in the northern Gaza Strip, causing massive damage in the targeted places and the surrounding areas.
The Palestinian Health Ministry said the overall death toll since the latest onslaught began reached 212, including 61 children, and wounded over 1400 others, mostly children and women.
The Israeli military has carried out hundreds of airstrikes on the coastal enclave, targeting what it alleged as military sites. However, the bombardment targeted and leveled multistory residential buildings, towers, houses, government institutions, media outlet offices, banks in addition to roads and other infrastructure across the strip.    
Two million Palestinians live the Gaza Strip, which has been subjected to a punishing and crippling Israeli blockade for 12 years and repeated onslaughts that have heavily damaged much of the enclave’s infrastructure.
Gaza’s 2-million population remains under “remote control” occupation and a strict siege, which has destroyed the local economy, strangled Palestinian livelihoods, plunged them into unprecedented rates of unemployment and poverty, and cut off from the rest of the occupied Palestinian territories and the wider world.
Gaza remains occupied territory, having no control over its borders, territorial waters or airspace. Meanwhile, Israel upholds very few of its responsibilities as the occupying power, failing to provide for the basic needs of Palestinian civilians living in the territory.
Every two in three Palestinians in Gaza is a refugee from lands inside what is now Israel. That government forbids them from exercising their right to return as enshrined in international law because they are not Jews.
K. F.
"
"Palestinians stage nationwide general strike as Israel relentlessly bombards Gaza""",18/May/2021 09:59 AM,https://english.wafa.ps/Pages/Details/124558,"
RAMALLAH, Tuesday, May 18, 2021 (WAFA) – The Palestinian people today are observing a nationwide general strike to protest Israel’s relentless bombardment of the besieged Gaza Strip.
The strike, which will see the closure of all economic, commercial and educational establishments in the occupied West Bank, including East Jerusalem, Gaza and the Palestinian villages and towns in Israel, as more than 200 people, including 61 children, were killed and over 1,300 others were wounded in the intense Israeli aerial and artillery attacks on the besieged enclave.
The strike is also being observed in protest settler mob violence against Palestinians and the forcible expulsions of Palestinians from the Sheikh Jarrah neighborhood and days of assaults against Al-Aqsa Mosque compound.
The call for the strike has been backed by the various Palestinian political parties, unions, syndicates, and popular movements, which published statements in support of it and urging the Palestinian people and their members to take part in it. 
The call of the strike has also been supported by the Arab High Follow-up Committee, which called the approximately 1.6 million Palestinian citizens of Israel to observe the strike, as Palestinians in refugee camps and worldwide are also expected to take part in peaceful protests in condemnation of the Israeli aggression.
Fatah Central Committee has called on Palestinians to adhere to the strike, describing it as a “day of rage” and calling the world to confront the Israeli occupation authorities’ attempts to “ignite a religious conflict” through forced expulsions in Jerusalem.
The Palestinian national and Islamic parties coalition also released a statement in support of the strike, which will see Palestinians everywhere embodying their national unity under the Palestinian flag. 
The participants are expected to take part in mass mobilizations at various places.
K.F.
"
"BREAKING: Israeli fighter jets attack civilian targets in Gaza, Jabalia and Beit Lahiya""",18/May/2021 04:54 AM,https://english.wafa.ps/Pages/Details/124556,"
"
"Death toll from Israeli ongoing onslaught on Gaza rises to 212""",17/May/2021 10:21 PM,https://english.wafa.ps/Pages/Details/124550,"
RAMALLAH, Monday, May 17, 2021 (WAFA) – The death toll among Palestinians after eight consecutive days of the brutal Israeli onslaught on the Gaza Strip has risen to 212, said medical sources.
According to medical sources, 212 Palestinians have been killed in the Israeli bombardment of Gaza since Monday, including 61 children, 36 women, and 16 elderly people, while 1400 people were wounded, including 400 children, and 270 women, of whom 50 are in critical condition.
T.R.
"
"Israeli forces kill Palestinian minor during clashes north of Hebron """,17/May/2021 10:14 PM,https://english.wafa.ps/Pages/Details/124549,"
HEBRON, Monday, May 17, 2021 (WAFA) – A Palestinian minor was killed and dozens of others suffocated by tear gas during clashes with Israeli forces in al-Aroub refugee camp to the north of the southern occupied West Bank district of Hebron, according to WAFA correspondent.
Clashes reportedly broke out at the entrance to al-Aroub refugee camp, during which Israeli army forces fired live and rubber-coated steel bullets, tear gas canisters, and stun grenades towards the camp’s residents and their homes, killing 17-year-old Obaida Akram Jawabreh. 
According to medical sources, Jawabreh was hit by a direct shot to the heart, which emerged from the lungs, killing him instantly.
T.R.
"
"Israeli airstrikes kill child, elderly in central Gaza """,17/May/2021 07:40 PM,https://english.wafa.ps/Pages/Details/124544,"
GAZA, Monday, May 17, 2021 (WAFA) – A Palestinian child and an elderly man were killed today evening in an Israeli airstrike that targeted a residential building in central Gaza, said sources.
Israeli warplanes targeted with at least one missile a residential building located near al-Rimal clinic in al-Wehda Street, that runs through central Gaza city, killing a child and an elderly and injuring more than a dozen people.
Palestinians in the area say they were given no warning prior to the attack.
The shelling caused the destruction of large portions of the building and immense damage to the nearby al-Rimal clinic.
Members of the medical staff inside the clinic were also injured in the airstrike.
T.R.
 
"
"Israeli airstrikes on Gaza kill youth, injure others """,17/May/2021 06:58 PM,https://english.wafa.ps/Pages/Details/124542,"
GAZA, Monday, May 17, 2021 (WAFA) – a Palestinian civilian was killed and others injured in an Israeli airstrike that hit a site in Beit Lahiya town, to the north of the besieged Gaza Strip, said sources.
Israeli warplanes targeted a group of Palestinian civilians in Beit Lahiya, killing a youth and injuring others.
T.R. 
"
